代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),总市值(元)
400002,长白5,2.97,2.97,2.97,2.97,55,16335.00,-0.34,179979879.42
400021,华夏5,0.65,0.65,0.65,0.65,174,0,0.0,238914000.0
400027,生态5,0.28,0.28,0.28,0.28,782,0,0.0,124890981.04
400030,R蓝璟1,0.68,0.68,0.68,0.68,2247,0,4.62,906769307.68
400035,R比特1,0.31,0.31,0.31,0.31,50141,0,3.33,201401775.57
400036,天创5,0.34,0.34,0.34,0.34,2017,0,3.03,126280272.78
400046,博嘉5,0.23,0.23,0.23,0.23,7276,0,0.0,189198000.0
400055,国瓷5,0.25,0.25,0.25,0.25,907,0,0.0,198547500.0
400059,天珑5,1.42,1.42,1.42,1.42,5424,0,-1.39,2676299561.42
400068,昆机5,2.65,2.65,2.65,2.65,585,0,0.76,934888608.1
400069,吉恩5,3.75,3.75,3.75,3.75,692,0,0.0,2938498953.75
400073,上普A5,4.99,4.99,4.99,4.99,49,0,-2.16,1907304431.63
400082,华锐5,0.48,0.48,0.48,0.48,49091,0,4.35,2894688000.0
400089,盛运5,0.48,0.48,0.48,0.48,13901,0,2.13,1685628260.16
400098,航通5,4.17,4.17,4.17,4.17,1191,0,-0.71,4375677364.53
400100,工新5,0.68,0.68,0.68,0.68,3693,0,-1.45,2614651727.6
400110,天翔5,0.47,0.47,0.47,0.47,4392,0,0.0,729189466.97
400119,西创5,1.05,1.05,1.05,1.05,7009,0,-2.78,1147717596.9
400120,绿庭A5,0.28,0.28,0.28,0.28,1241,0,-3.45,196007663.88
400122,域潇5,2.3,2.3,2.3,2.3,2274,0,1.32,1915218045.4
400124,中房5,0.19,0.19,0.19,0.19,213,0,0.0,110047035.75
400125,明科5,0.74,0.74,0.74,0.74,831,0,-1.33,323685267.76
400128,罗顿5,0.57,0.57,0.57,0.57,3486,0,-5.0,250236366.33
400131,科迪5,0.78,0.78,0.78,0.78,4134,0,1.3,1537194386.52
400138,欣盛5,0.6,0.6,0.6,0.6,100,0,3.45,110891764.2
400140,东海A5,0.71,0.71,0.71,0.71,1413,0,1.43,258511000.0
400142,宝德5,0.77,0.77,0.77,0.77,172,0,1.32,243402216.75
400143,德威5,1.02,1.02,1.02,1.02,6109,0,-4.67,1387793759.34
400146,聚龙5,0.35,0.35,0.35,0.35,1724,60340.00,0.0,192326400.0
400149,金泰5,0.6,0.6,0.6,0.6,87,0,-1.64,88864288.8
400151,天首5,1.0,1.0,1.0,1.0,100,0,0.0,321822022.0
400163,计通5,1.55,1.55,1.55,1.55,1199,0,0.65,260400000.0
400170,运盛5,0.33,0.33,0.33,0.33,1232,0,3.13,112533360.06
400177,阳竹5,1.68,1.68,1.68,1.68,1102,0,-4.55,454058304.0
400192,宋都5,0.23,0.23,0.23,0.23,2086,0,0.0,308228134.98
400201,海投5,0.49,0.49,0.49,0.49,2612,127988.00,2.08,700814868.25
400208,金鹤5,0.25,0.25,0.25,0.25,8262,0,0.0,392876339.5
400210,博天5,0.57,0.57,0.57,0.57,2813,0,0.0,550500756.57
400212,民生5,0.9,0.9,0.9,0.9,567,0,3.45,478684344.6
400215,商业城5,3.22,3.22,3.22,3.22,1217,0,-1.23,1379491788.78
400216,中资5,0.38,0.38,0.38,0.38,1167,0,2.7,131100000.0
400219,碳元5,0.37,0.37,0.37,0.37,1560,0,0.0,77398524.0
400220,同达5,2.65,2.65,2.65,2.65,1076,0,0.76,368730407.5
400224,苏阳光5,0.19,0.19,0.19,0.19,5154,0,0.0,338834661.94
400227,利能5,0.54,0.54,0.54,0.54,35228,0,0.0,1922735984.76
400232,左江5,2.4,2.4,2.4,2.4,535,0,0.42,244872000.0
400236,中银5,0.45,0.45,0.45,0.45,93378,0,0.0,1910829572.1
400237,天通5,0.92,0.92,0.92,0.92,16005,0,-4.17,1111778806.08
400247,航高5,0.39,0.39,0.39,0.39,20237,0,0.0,976537740.75
400250,鼎龙5,0.33,0.33,0.33,0.33,17718,0,3.13,303598230.87
400251,海印5,0.27,0.27,0.27,0.27,61709,0,0.0,677496084.39
400256,鹏都5,0.18,0.18,0.18,0.18,29335,0,0.0,1147366995.84
400260,大药5,0.67,0.67,0.67,0.67,4098,0,3.08,147199000.0
400270,龙津5,0.5,0.5,0.5,0.5,5761,0,2.04,200250000.0
400271,龙宇5,3.35,3.35,3.35,3.35,2126,0,-1.18,1260582668.9
400289,德邦5,12.31,12.31,12.31,12.31,111,0,4.86,12452408074.97
420063,武锅B5,0.075,0.075,0.075,0.075,388,0,0.0,22275000.0
420073,上普B5,0.228,0.228,0.228,0.228,62,0,-2.15,87147376.84
420085,东沣B5,0.02,0.02,0.02,0.02,82,0,5.26,12581868.32
420120,绿庭B5,0.018,0.018,0.018,0.018,90,0,0.0,12600492.68
420273,凌云B5,0.057,0.057,0.057,0.057,478,0,-1.72,19893000.0
