代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),总市值(元)
400002,长白5,2.93,2.93,2.93,2.93,9,26.37,-1.35,21,48,177555907.98
400008,水仙A3,1.43,1.43,1.43,1.43,30,42.9,1.42,67,229,338053430.0
400010,鹫峰3,0.68,0.68,0.68,0.68,73,49.64,1.49,271,52,91800000.0
400016,R金田A1,0.36,0.36,0.36,0.36,8972,3229.92,2.86,909,0,144043302.96
400018,银化3,0.75,0.75,0.75,0.75,158,118.5,-3.85,19,0,85762696.5
400021,华夏5,0.66,0.66,0.66,0.66,142,93.72,0.0,116,467,242589600.0
400025,宏业3,0.36,0.36,0.36,0.36,75,27.0,2.86,301,0,40060800.0
400027,生态5,0.32,0.32,0.32,0.32,1409,450.88,3.23,110,1939,142732549.76
400030,R蓝璟1,0.80,0.80,0.80,0.80,2765,2212.0,3.9,120992,0,1066787420.8
400035,R比特1,0.27,0.27,0.27,0.27,10776,2909.52,-3.57,0,246710,175414449.69
400036,天创5,0.34,0.34,0.34,0.34,1862,633.08,-2.86,3876,24244,126280272.78
400040,中川3,0.51,0.51,0.51,0.51,112,57.12,-3.77,0,1138,83797387.02
400045,猴王3,0.13,0.13,0.13,0.13,21342,2774.46,0.0,11590,17654,110854224.26
400046,博嘉5,0.23,0.23,0.23,0.23,5987,1377.01,0.0,3383,11737,189198000.0
400051,精密3,0.26,0.26,0.26,0.26,1009,262.34,0.0,511,929,67911012.0
400053,佳纸3,0.38,0.38,0.38,0.38,450,171.0,2.7,962,0,136590029.48
400055,国瓷5,0.25,0.25,0.25,0.25,1347,336.75,4.17,2218,4854,198547500.0
400057,海国油3,0.39,0.39,0.39,0.39,308,120.12,0.0,401,4405,252723664.83
400059,天珑5,1.36,1.36,1.36,1.36,2464,3351.04,-2.16,1650,3044,2563216481.36
400065,亚美3,0.19,0.19,0.19,0.19,6929,1316.51,0.0,5427,11403,272410339.32
400068,昆机5,2.97,2.97,2.97,2.97,716,2126.52,4.95,8000,0,1047780817.38
400069,吉恩5,3.89,3.89,3.89,3.89,714,2777.46,-2.75,126,504,3048202914.69
400070,烯碳3,0.11,0.11,0.11,0.11,4071,447.81,0.0,13734,14312,127031521.21
400073,上普A5,4.58,4.58,4.58,4.58,50,229.0,0.0,327,326,1750592043.46
400082,华锐5,0.46,0.46,0.46,0.46,15602,7176.92,-2.13,43044,10471,2774076000.0
400084,乐视网3,0.15,0.15,0.15,0.15,66705,10005.75,-6.25,41266,34785,598416028.8
400088,美都3,0.10,0.10,0.10,0.10,8580,858.0,0.0,52241,75183,357648877.3
400089,盛运5,0.50,0.50,0.50,0.50,17188,8594.0,-3.85,0,28533,1755862771.0
400094,银鸽3,0.21,0.21,0.21,0.21,4015,843.15,-4.55,12897,38820,364622924.82
400097,R刚泰1,0.31,0.31,0.31,0.31,10365,3213.15,-3.13,816,8932,461501744.24
400098,航通5,4.18,4.18,4.18,4.18,1680,7022.4,-0.24,177,389,4386170595.62
400099,宜生3,0.11,0.11,0.11,0.11,626,68.86,0.0,8134,12161,163115700.44
400100,工新5,0.65,0.65,0.65,0.65,3267,2123.55,3.17,307,3734,2499299445.5
400110,天翔5,0.51,0.51,0.51,0.51,75,38.25,-1.92,1350,2917,791248145.01
400114,东北电3,0.22,0.22,0.22,0.22,3057,672.54,-4.35,1515,9955,192141400.0
400119,西创5,1.03,1.03,1.03,1.03,2324,2393.72,-4.63,302,2601,1125856309.34
400120,绿庭A5,0.31,0.31,0.31,0.31,7169,2222.39,0.0,1371,5402,217008485.01
400122,域潇5,2.30,2.30,2.30,2.30,1324,3045.2,-0.43,4291,2736,1915218045.4
400123,昌鱼3,0.17,0.17,0.17,0.17,1199,203.83,0.0,4532,116,86502330.46
400124,中房5,0.19,0.19,0.19,0.19,443,84.17,0.0,4225,9574,110047035.75
400125,明科5,0.74,0.74,0.74,0.74,153,113.22,-1.33,735,186,323685267.76
400128,罗顿5,0.56,0.56,0.56,0.56,938,525.28,0.0,938,1728,245846254.64
400129,圣莱达3,0.16,0.16,0.16,0.16,753,120.48,-5.88,1392,4394,25600000.0
400130,新光3,0.21,0.21,0.21,0.21,2635,553.35,-4.55,4828,3535,383896047.15
400131,科迪5,0.79,0.79,0.79,0.79,3081,2433.99,-2.47,8123,8347,1556902006.86
400132,易见3,0.15,0.15,0.15,0.15,1632,244.8,0.0,4375,16460,168367125.0
400135,众应3,0.09,0.09,0.09,0.09,2912,262.08,-10.0,7456,27484,46961494.92
400138,欣盛5,0.60,0.60,0.60,0.60,173,103.8,-1.64,857,1546,110891764.2
400140,东海A5,0.69,0.69,0.69,0.69,2480,1711.2,-1.43,191,2225,251229000.0
400142,宝德5,0.75,0.75,0.75,0.75,302,226.5,0.0,1764,924,237080081.25
400143,德威5,0.97,0.97,0.97,0.97,2230,2163.1,2.11,3297,9412,1319764653.49
400144,猛狮3,0.22,0.22,0.22,0.22,15433,3395.26,0.0,6965,4042,124822365.58
400145,网力3,0.16,0.16,0.16,0.16,8820,1411.2,0.0,12207,19716,191323602.56
400146,聚龙5,0.35,0.35,0.35,0.35,1244,435.4,2.94,383,3649,192326400.0
400147,当代3,0.36,0.36,0.36,0.36,83249,29969.64,2.86,10565,15471,464257478.88
400149,金泰5,0.59,0.59,0.59,0.59,249,146.91,-3.28,200,1685,87383217.32
400151,天首5,1.00,1.00,1.00,1.00,51,51.0,0.0,21,422,321822022.0
400153,海创A3,0.30,0.30,0.30,0.30,5057,1517.1,0.0,12598,7766,391050000.0
400160,荣华3,0.27,0.27,0.27,0.27,2150,580.5,0.0,831,4957,179712000.0
400161,金洲3,0.11,0.11,0.11,0.11,63423,6976.53,-8.33,29422,140577,233612426.3
400163,计通5,1.60,1.60,1.60,1.60,604,966.4,0.63,743,4270,268800000.0
400165,蓝光3,0.06,0.06,0.06,0.06,40381,2422.86,0.0,362076,279451,182095826.1
400166,宜康3,0.11,0.11,0.11,0.11,4533,498.63,0.0,9130,43961,96546731.27
400167,未来3,0.14,0.14,0.14,0.14,3772,528.08,-6.67,40113,21719,72249200.8
400169,江科宏3,0.19,0.19,0.19,0.19,663,125.97,0.0,6368,21332,220069086.5
400170,运盛5,0.33,0.33,0.33,0.33,384,126.72,0.0,314,2504,112533360.06
400173,银河3,0.31,0.31,0.31,0.31,10649,3301.19,3.33,19667,0,340972646.22
400176,奇信3,0.16,0.16,0.16,0.16,1247,199.52,6.67,13123,11208,36000000.0
400177,阳竹5,1.72,1.72,1.72,1.72,845,1453.4,0.58,3432,49,464869216.0
400179,顺利3,0.15,0.15,0.15,0.15,4716,707.4,0.0,7272,9547,114869902.95
400186,美置3,0.07,0.07,0.07,0.07,15651,1095.57,0.0,27512,94482,171089648.31
400189,广文城3,0.09,0.09,0.09,0.09,661,59.49,0.0,15152,30204,43295118.3
400191,粤泰3,0.09,0.09,0.09,0.09,6650,598.5,0.0,32759,26378,228262308.3
400192,宋都5,0.21,0.21,0.21,0.21,3175,666.75,-4.55,5821,5345,281425688.46
400193,嘉凯城3,0.06,0.06,0.06,0.06,67731,4063.86,0.0,272082,205124,108251490.0
400195,泰禾3,0.06,0.06,0.06,0.06,25130,1507.8,0.0,123503,238519,149334086.4
400197,天润3,0.11,0.11,0.11,0.11,9349,1028.39,0.0,17350,27782,166160172.53
400199,阳光城3,0.06,0.06,0.06,0.06,57614,3456.84,0.0,287743,423906,248422977.0
400201,海投5,0.49,0.49,0.49,0.49,3829,1876.21,0.0,5464,19302,700814868.25
400204,柏龙3,0.10,0.10,0.10,0.10,47033,4703.3,11.11,59484,0,53798910.6
400205,泛海3,0.12,0.12,0.12,0.12,53639,6436.68,0.0,135381,60025,623544078.72
400208,金鹤5,0.25,0.25,0.25,0.25,11884,2971.0,-3.85,78451,55269,392876339.5
400209,新海宜3,0.09,0.09,0.09,0.09,10987,988.83,0.0,39479,109659,123720265.44
400210,博天5,0.55,0.55,0.55,0.55,1450,797.5,0.0,1355,1321,531184940.55
400212,民生5,0.88,0.88,0.88,0.88,848,746.24,-2.22,785,6272,468046914.72
400214,世茂3,0.24,0.24,0.24,0.24,2549,611.76,0.0,1229,28821,900280382.64
400215,商业城5,3.24,3.24,3.24,3.24,7452,24144.48,4.85,364,1858,1388060060.76
400216,中资5,0.38,0.38,0.38,0.38,209,79.42,0.0,11644,3037,131100000.0
400217,正源3,0.10,0.10,0.10,0.10,12614,1261.4,-9.09,35074,35171,151055000.0
400219,碳元5,0.35,0.35,0.35,0.35,2350,822.5,-2.78,4872,4077,73214820.0
400220,同达5,2.77,2.77,2.77,2.77,516,1429.32,0.0,280,552,385427633.5
400221,太安堂3,0.21,0.21,0.21,0.21,5156,1082.76,-4.55,0,17186,161022372.0
400224,苏阳光5,0.19,0.19,0.19,0.19,2190,416.1,0.0,11655,23366,338834661.94
400225,中南3,0.09,0.09,0.09,0.09,17454,1570.86,12.5,94277,76016,344390301.09
400227,利能5,0.63,0.63,0.63,0.63,16962,10686.06,5.0,170358,0,2243191982.22
400231,保力新3,0.12,0.12,0.12,0.12,107957,12954.84,-7.69,41491,166357,531070964.04
400232,左江5,2.38,2.38,2.38,2.38,480,1142.4,-0.42,190,1068,242831400.0
400233,美吉姆3,0.08,0.08,0.08,0.08,6220,497.6,0.0,23567,19221,65779034.4
400234,迪马3,0.17,0.17,0.17,0.17,27956,4752.52,6.25,5716,4693,423556068.28
400236,中银5,0.42,0.42,0.42,0.42,105558,44334.36,-4.55,16352,7436,1783440933.96
400237,天通5,0.92,0.92,0.92,0.92,25219,23201.48,4.55,109624,0,1111778806.08
400238,贵天成3,0.60,0.60,0.60,0.60,3137,1882.2,3.45,2213,8288,305522907.6
400239,联络3,0.23,0.23,0.23,0.23,33886,7793.78,4.55,10335,15067,500744425.25
400242,巴安3,0.15,0.15,0.15,0.15,6612,991.8,0.0,2978,20660,100465049.85
400246,新纶3,0.27,0.27,0.27,0.27,18491,4992.57,-3.57,0,16485,311097939.84
400247,航高5,0.39,0.39,0.39,0.39,26881,10483.59,0.0,187428,4027,976537740.75
400250,鼎龙5,0.32,0.32,0.32,0.32,5508,1762.56,3.23,7278,0,294398284.48
400251,海印5,0.27,0.27,0.27,0.27,26212,7077.24,0.0,31465,35274,677496084.39
400253,威创3,0.19,0.19,0.19,0.19,7427,1411.13,-5.0,12432,14686,172180783.69
400255,亚星3,3.01,3.01,3.01,3.01,200,602.0,-3.83,140,326,860860000.0
400256,鹏都5,0.17,0.17,0.17,0.17,30222,5137.74,-5.56,81549,68558,1083624384.96
400258,博信3,0.36,0.36,0.36,0.36,1125,405.0,0.0,2947,7002,82800000.0
400259,津信科3,0.24,0.24,0.24,0.24,34855,8365.2,-4.0,3423,31358,818734647.12
400260,大药5,0.60,0.60,0.60,0.60,4582,2749.2,-4.76,2510,3732,131820000.0
400261,伊立浦3,0.16,0.16,0.16,0.16,2232,357.12,0.0,2635,14616,89107200.0
400262,嘉寓3,0.10,0.10,0.10,0.10,11170,1117.0,-9.09,50552,78112,71676000.0
400265,富润3,0.20,0.20,0.20,0.20,8187,1637.4,0.0,6859,7697,101484146.4
400270,龙津5,0.49,0.49,0.49,0.49,1810,886.9,-2.0,4201,10365,196245000.0
400271,龙宇5,3.37,3.37,3.37,3.37,2063,6952.31,4.98,1491,0,1268108535.58
400272,鹏博士3,0.11,0.11,0.11,0.11,32405,3564.55,0.0,62199,19436,182321029.66
400274,人人乐3,0.38,0.38,0.38,0.38,2171,824.98,0.0,1030,5477,167200000.0
400276,海越3,0.92,0.92,0.92,0.92,4655,4282.6,-4.17,1788,1054,430692906.88
400279,中程3,0.57,0.57,0.57,0.57,7767,4427.19,1.79,4617,37920,427200750.0
400283,高鸿3,0.21,0.21,0.21,0.21,27091,5689.11,-4.55,20537,10477,243150604.2
400286,苏药发3,0.34,0.34,0.34,0.34,9448,3212.32,3.03,103426,0,241699023.2
