代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),流通市值(元),总市值(元)
400002,长白5,2.88,2.88,2.88,2.88,117,336.96,0.0,25,471,93456000,174525944
400005,R海国实1,0.28,0.28,0.28,0.28,1864,521.92,-3.45,1777,5241,53068154,126369690
400008,水仙A3,1.43,1.43,1.43,1.43,95,135.85,0.0,85,222,38998222,338053430
400010,鹫峰3,0.71,0.71,0.71,0.71,142,100.82,4.41,136,18,22045500,95850000
400012,R国晟1,0.23,0.23,0.23,0.23,246,56.58,4.55,268,1076,89336468,91752697
400016,R金田A1,0.35,0.35,0.35,0.35,1568,548.8,-2.78,0,22277,108862643,140042100
400018,银化3,0.78,0.78,0.78,0.78,346,269.88,4.0,621,0,32752200,89193204
400021,华夏5,0.65,0.65,0.65,0.65,116,75.4,0.0,510,666,238914000,238914000
400023,R新征程1,0.34,0.34,0.34,0.34,2289,778.26,-2.86,0,3830,124010282,135564164
400025,宏业3,0.37,0.37,0.37,0.37,189,69.93,2.78,3,17,28167360,41173600
400027,生态5,0.32,0.32,0.32,0.32,1542,493.44,-3.03,2137,9420,142718483,142732550
400028,R金马1,0.29,0.29,0.29,0.29,952,276.08,-3.33,0,3828,87242822,88991750
400030,R蓝璟1,0.80,0.80,0.80,0.80,65889,52711.2,-4.76,0,90136,782441594,1066787421
400031,R鞍合成1,0.12,0.12,0.12,0.12,5169,620.28,0.0,46772,3277,64816954,67489836
400035,R比特1,0.25,0.25,0.25,0.25,33232,8308.0,-3.85,0,53991,143357782,162420787
400036,天创5,0.33,0.33,0.33,0.33,7719,2547.27,-2.94,0,25268,112691451,122566147
400039,R华圣1,0.21,0.21,0.21,0.21,3285,689.85,-4.55,230,933,55910400,96309368
400040,中川3,0.53,0.53,0.53,0.53,275,145.75,3.92,855,65,29843559,87083559
400041,R数码1,0.35,0.35,0.35,0.35,496,173.6,-2.78,0,6136,38253427,101814317
400045,猴王3,0.13,0.13,0.13,0.13,13735,1785.55,0.0,148481,41371,109131085,110854224
400046,博嘉5,0.23,0.23,0.23,0.23,930,213.9,0.0,1311,8955,115218935,189198000
400051,精密3,0.26,0.26,0.26,0.26,448,116.48,0.0,77,2340,63824660,67911012
400053,佳纸3,0.39,0.39,0.39,0.39,494,192.66,2.63,0,54,63997237,140184504
400055,国瓷5,0.24,0.24,0.24,0.24,1765,423.6,-4.0,0,13716,125764392,190605600
400057,海国油3,0.39,0.39,0.39,0.39,457,178.23,0.0,203,7237,131575350,252723665
400059,天珑5,1.35,1.35,1.35,1.35,3629,4899.15,-0.74,1928,295,2533890447,2544369301
400065,亚美3,0.19,0.19,0.19,0.19,1948,370.12,0.0,5993,10724,272391299,272410339
400066,R鹍鹏1,0.15,0.15,0.15,0.15,3341,501.15,0.0,1517,8898,64458005,64458005
400068,昆机5,3.09,3.09,3.09,3.09,577,1782.93,-0.64,205,1852,1090115396,1090115396
400069,吉恩5,3.86,3.86,3.86,3.86,728,2810.08,0.78,125,147,3024681865,3024694923
400070,烯碳3,0.11,0.11,0.11,0.11,8445,928.95,0.0,10759,16110,127030993,127031521
400071,R中弘1,0.15,0.15,0.15,0.15,196970,29545.5,7.14,25707,5898,1129090211,1258590180
400073,上普A5,4.76,4.76,4.76,4.76,27,128.52,3.48,8,346,1225344604,1819392604
400078,R明瑞1,0.07,0.07,0.07,0.07,10755,752.85,0.0,11748,18534,66102988,102502988
400080,R华业1,0.09,0.09,0.09,0.09,34841,3135.69,0.0,18167,11098,128182824,128182824
400081,R保千里1,0.08,0.08,0.08,0.08,4338,347.04,0.0,9041,44753,178721823,195030884
400082,华锐5,0.46,0.46,0.46,0.46,15823,7278.58,0.0,66093,7683,2773395056,2774076000
400084,乐视网3,0.15,0.15,0.15,0.15,53429,8014.35,0.0,29651,31988,525385882,598416029
400088,美都3,0.10,0.10,0.10,0.10,22240,2224.0,0.0,81550,72037,260308275,357648877
400089,盛运5,0.49,0.49,0.49,0.49,13236,6485.64,2.08,34923,5205,1720745516,1720745516
400094,银鸽3,0.22,0.22,0.22,0.22,2781,611.82,4.76,32406,0,381985918,381985921
400095,R雏鹰1,0.06,0.06,0.06,0.06,31334,1880.04,0.0,17378,26198,187875132,188109578
400097,R刚泰1,0.32,0.32,0.32,0.32,14976,4792.32,3.23,10232,4070,476388897,476388897
400098,航通5,4.28,4.28,4.28,4.28,1116,4776.48,-0.23,261,1397,4487882771,4491102907
400099,宜生3,0.11,0.11,0.11,0.11,4430,487.3,0.0,17257,13130,120506101,163115700
400100,工新5,0.66,0.66,0.66,0.66,2566,1693.56,4.76,1028,1955,1944295733,2537750206
400104,R金钰1,0.07,0.07,0.07,0.07,18827,1317.89,-12.5,54258,42931,73979151,94500000
400108,R鹏起A1,0.07,0.07,0.07,0.07,10238,716.66,0.0,53652,26236,105802514,122694163
400110,天翔5,0.50,0.50,0.50,0.50,109,54.5,2.04,2203,1948,599410218,775733476
400113,R国动游1,0.12,0.12,0.12,0.12,6725,807.0,0.0,1185,15685,39211200,39211245
400114,东北电3,0.22,0.22,0.22,0.22,3414,751.08,0.0,13914,873,135322215,192141400
400117,R中新1,0.07,0.07,0.07,0.07,4035,282.45,0.0,20921,22616,21006825,21010500
400118,R艾格1,0.11,0.11,0.11,0.11,50131,5514.41,10.0,70748,0,158394748,202938585
400119,西创5,1.01,1.01,1.01,1.01,5238,5290.38,-1.94,6109,6995,1103995022,1103995022
400120,绿庭A5,0.31,0.31,0.31,0.31,4387,1359.97,3.33,1942,0,111849628,217008485
400122,域潇5,2.26,2.26,2.26,2.26,1829,4133.54,0.44,3663,1131,1532787347,1881909905
400123,昌鱼3,0.18,0.18,0.18,0.18,557,100.26,5.88,11277,0,91590703,91590703
400124,中房5,0.18,0.18,0.18,0.18,3142,565.56,-5.26,1429,9521,104255086,104255086
400125,明科5,0.76,0.76,0.76,0.76,30,22.8,0.0,1028,4880,332429984,332433518
400126,R华讯1,0.22,0.22,0.22,0.22,8267,1818.74,-4.35,464,1660,96709697,168563860
400128,罗顿5,0.56,0.56,0.56,0.56,723,404.88,3.7,991,0,245843105,245846255
400129,圣莱达3,0.16,0.16,0.16,0.16,2221,355.36,0.0,352,3688,25600000,25600000
400130,新光3,0.22,0.22,0.22,0.22,1723,379.06,4.76,1633,365,119382210,402176811
400131,科迪5,0.80,0.80,0.80,0.80,3918,3134.4,0.0,2976,9046,877146091,1576609627
400132,易见3,0.16,0.16,0.16,0.16,4191,670.56,6.67,8488,8270,80234040,179591600
400133,R丹邦1,0.27,0.27,0.27,0.27,9858,2661.66,3.85,22968,0,137851093,147938400
400135,众应3,0.09,0.09,0.09,0.09,4295,386.55,0.0,6157,17278,46961495,46961495
400136,R世节1,0.60,0.60,0.60,0.60,5193,3115.8,3.45,23,340,313646144,313919799
400137,R环球1,0.08,0.08,0.08,0.08,16498,1319.84,0.0,10267,39278,37597600,37597600
400138,欣盛5,0.61,0.61,0.61,0.61,646,394.06,0.0,547,2518,112739960,112739960
400139,R晨臻1,0.07,0.07,0.07,0.07,105763,7403.41,0.0,49294,112476,99903510,99903510
400140,东海A5,0.69,0.69,0.69,0.69,1058,730.02,0.0,2698,2751,185422182,251229000
400141,R数知1,0.07,0.07,0.07,0.07,5811,406.77,0.0,9649,51252,81459508,82027899
400142,宝德5,0.75,0.75,0.75,0.75,209,156.75,1.35,1853,759,194057438,237080081
400143,德威5,1.01,1.01,1.01,1.01,2002,2022.02,4.12,565,6185,312539588,1374187938
